Client_ID,Company_Name,Industry,Region,Plan,Lead_Source,Account_Age_Months,Contract_Length_Months,Monthly_Usage_Score,Support_Tickets_Last30Days,Payment_Delay_Days,Monthly_Revenue_USD,Last_Renewal_Date,Churn_Probability,Risk_Category,Renewal_Status
CL00096,Quantum Industries,Retail,South,Standard,Inbound,24,12,32.3,7,31,1486.37,2025-01-28,0.686,High,No
CL00097,Crest Holdings,Finance,West,Premium,Outbound,11,24,37.6,10,20,5013.4,2024-03-14,0.36,High,Yes
CL00098,Sky Industries,Retail,South,Premium,Inbound,26,24,62.9,2,14,5280.13,2025-03-23,0.129,Low,Yes
CL00099,Nova Holdings,IT Services,South,Standard,Partner,23,24,66.7,3,39,2097.77,2024-04-20,0.391,High,Yes
CL00100,Prime Labs,IT Services,North,Basic,Referral,11,3,34.8,3,27,749.24,2024-07-19,0.799,High,No
CL00101,Apex Labs,IT Services,South,Enterprise,Inbound,51,48,90.3,6,9,8403.64,2024-09-19,0.005,Low,Yes
CL00102,Crest Solutions,Logistics,East,Premium,Referral,17,12,65.7,13,26,5555.32,2025-10-15,0.415,High,Yes
CL00103,Nova Services,Healthcare,East,Enterprise,Referral,43,24,72.0,4,10,7926.59,2024-05-11,0.035,Low,Yes
CL00104,Sky Solutions,Finance,South,Standard,Inbound,20,12,63.1,3,6,3145.89,2025-12-20,0.145,Low,Yes
CL00105,Quantum Systems,Energy,South,Premium,Event,43,24,54.6,4,5,2459.07,2025-04-15,0.072,Low,Yes
CL00106,Omni Manufacturing,Manufacturing,North,Standard,Event,21,6,47.6,9,21,2809.64,2024-05-16,0.615,High,No
CL00107,Sky Logistics,Retail,South,Standard,Referral,26,24,58.0,3,31,3241.71,2026-02-16,0.235,Medium,Yes
CL00108,Omni Enterprises,Education,North,Standard,Inbound,34,24,47.6,4,11,3141.88,2024-02-28,0.252,Medium,Yes
CL00109,Quantum Healthcare,Manufacturing,West,Standard,Inbound,39,12,73.9,4,7,3077.36,2024-06-24,0.099,Low,No
CL00110,Green Labs,IT Services,Central,Basic,Referral,26,6,49.3,6,15,2536.61,2024-07-10,0.446,High,Yes
CL00111,Quantum Services,Manufacturing,Central,Standard,Partner,16,24,58.5,10,4,2893.39,2025-11-21,0.153,Low,Yes
CL00112,Orion Labs,Manufacturing,Central,Basic,Partner,34,12,35.4,6,38,1171.38,2024-11-06,0.728,High,No
CL00113,Orion Enterprises,Energy,East,Premium,Marketplace,47,24,71.5,2,8,3805.97,2025-10-28,0.03,Low,Yes
CL00114,Green Manufacturing,Telecom,West,Standard,Referral,6,12,51.1,9,17,1751.12,2024-03-28,0.617,High,Yes
CL00115,Pioneer Holdings,Logistics,South,Basic,Outbound,38,6,41.4,6,27,1017.63,2026-01-26,0.69,High,No
CL00116,Sky Logistics,Telecom,East,Basic,Event,33,6,29.0,6,26,1018.03,2025-11-11,0.681,High,No
CL00117,Sky Solutions,Telecom,South,Basic,Partner,29,6,52.5,5,48,1633.49,2025-02-08,0.675,High,Yes
CL00118,Vertex Labs,Manufacturing,East,Premium,Event,34,24,66.5,7,21,3038.88,2024-06-17,0.093,Low,Yes
CL00119,Nova Holdings,Energy,West,Basic,Referral,37,3,57.8,5,19,995.84,2024-08-08,0.552,High,Yes
CL00120,Apex Healthcare,Finance,South,Premium,Inbound,3,12,94.7,5,17,6136.95,2024-08-11,0.065,Low,Yes
CL00121,Quantum Labs,Telecom,South,Basic,Inbound,8,6,49.2,3,5,1171.57,2025-07-24,0.309,Medium,No
CL00122,Crest Labs,Energy,Central,Standard,Referral,42,24,49.8,7,22,3023.01,2024-11-26,0.199,Medium,Yes
CL00123,Apex Solutions,Healthcare,North,Enterprise,Inbound,32,48,62.6,7,15,12606.08,2024-02-29,0.018,Low,Yes
CL00124,Orion Manufacturing,IT Services,East,Premium,Inbound,32,24,78.9,3,15,3554.62,2024-12-03,0.026,Low,Yes
CL00125,Apex Labs,Manufacturing,Central,Basic,Referral,6,6,38.5,3,26,1317.43,2025-04-19,0.735,High,Yes
CL00126,Nova Industries,Retail,East,Enterprise,Outbound,32,24,78.5,6,29,16247.88,2024-04-06,0.081,Low,Yes
CL00127,Blue Solutions,Telecom,East,Standard,Inbound,36,12,75.8,5,42,3114.14,2025-04-04,0.418,High,No
CL00128,Quantum Labs,Telecom,South,Enterprise,Inbound,37,12,67.1,5,26,11814.54,2025-09-16,0.293,Medium,Yes
CL00129,Prime Manufacturing,IT Services,South,Premium,Event,13,12,56.9,1,23,4483.08,2025-04-13,0.243,Medium,No
CL00130,Sky Labs,Finance,West,Premium,Outbound,27,24,63.2,7,21,4907.09,2024-10-25,0.171,Low,Yes
CL00131,Quantum Systems,Retail,East,Enterprise,Outbound,22,24,81.9,3,42,9528.96,2024-11-16,0.085,Low,Yes
CL00132,Orion Healthcare,Manufacturing,East,Standard,Marketplace,5,6,57.7,9,29,1816.53,2025-01-06,0.707,High,No
CL00133,Crest Networks,IT Services,North,Premium,Marketplace,37,24,57.3,6,7,3204.82,2025-11-06,0.088,Low,Yes
CL00134,Vertex Networks,Healthcare,North,Standard,Referral,30,12,61.1,5,8,2787.05,2024-03-21,0.153,Low,Yes
CL00135,Green Labs,Construction,Central,Basic,Partner,26,3,17.6,15,18,1041.44,2024-11-11,0.916,High,No
CL00136,Nova Solutions,Healthcare,South,Basic,Referral,6,3,26.9,4,35,925.84,2026-01-27,0.865,High,No
CL00137,Pioneer Technologies,Finance,East,Basic,Referral,20,6,37.6,5,15,951.29,2025-10-25,0.609,High,No
CL00138,Blue Technologies,Logistics,North,Premium,Outbound,11,12,58.4,7,7,5331.56,2024-06-04,0.317,Medium,Yes
CL00139,Green Networks,Healthcare,West,Premium,Outbound,16,24,74.7,6,20,4239.51,2024-11-12,0.096,Low,Yes
CL00140,Orion Industries,Construction,Central,Premium,Event,19,12,62.4,7,6,3399.04,2024-03-11,0.14,Low,Yes
CL00141,Pioneer Manufacturing,Construction,East,Basic,Partner,18,12,53.2,5,11,1074.41,2025-08-12,0.485,High,No
CL00142,Pioneer Solutions,Manufacturing,North,Standard,Marketplace,20,6,48.0,3,11,2458.57,2024-05-12,0.352,High,No
CL00143,Apex Technologies,Retail,East,Enterprise,Partner,9,24,70.5,9,3,7428.81,2024-12-04,0.126,Low,Yes
CL00144,Orion Holdings,Healthcare,West,Standard,Inbound,5,12,66.5,10,1,1669.56,2025-12-17,0.142,Low,Yes
CL00145,Nova Labs,Manufacturing,South,Premium,Partner,6,24,61.9,11,10,4487.9,2024-06-05,0.157,Low,Yes
CL00146,Vertex Labs,IT Services,Central,Premium,Marketplace,35,24,85.9,4,43,3502.03,2024-10-21,0.032,Low,Yes
CL00147,Quantum Networks,Finance,East,Premium,Partner,5,36,72.5,3,3,4104.38,2025-10-14,0.023,Low,Yes
CL00148,Omni Technologies,Finance,Central,Standard,Partner,24,6,25.8,8,18,3133.64,2025-06-02,0.783,High,No
CL00149,Omni Enterprises,IT Services,East,Enterprise,Marketplace,17,24,92.1,1,31,11014.15,2025-09-03,0.038,Low,No
CL00150,Sky Labs,Manufacturing,North,Standard,Referral,15,24,62.0,2,0,2520.56,2026-01-27,0.074,Low,Yes
CL00151,Nova Networks,Energy,South,Enterprise,Partner,43,12,82.4,4,11,9193.02,2025-12-24,0.081,Low,Yes
CL00152,Quantum Solutions,Manufacturing,North,Standard,Event,14,6,28.1,8,18,3052.25,2024-09-23,0.77,High,No
CL00153,Apex Manufacturing,IT Services,Central,Standard,Marketplace,18,6,48.0,4,53,2984.5,2024-10-02,0.719,High,No
CL00154,Quantum Industries,Retail,West,Basic,Outbound,52,6,27.9,3,15,914.4,2024-04-30,0.395,High,No
CL00155,Nova Labs,Construction,West,Premium,Inbound,9,12,48.9,4,20,4723.27,2024-11-27,0.443,High,Yes
CL00156,Omni Technologies,Manufacturing,South,Standard,Partner,43,6,71.9,1,4,2992.33,2025-09-14,0.166,Low,Yes
CL00157,Sky Networks,Logistics,North,Standard,Outbound,13,12,52.9,5,15,2452.66,2024-09-02,0.203,Medium,Yes
CL00158,Vertex Technologies,Education,West,Standard,Inbound,22,12,47.6,3,30,2388.93,2025-10-23,0.443,High,Yes
CL00159,Apex Systems,Manufacturing,South,Enterprise,Outbound,24,24,79.6,10,15,8768.36,2025-04-20,0.071,Low,Yes
CL00160,Green Industries,Education,South,Enterprise,Outbound,17,24,76.8,5,6,3094.21,2024-11-15,0.031,Low,Yes
CL00161,Green Enterprises,Healthcare,East,Premium,Inbound,26,24,24.0,10,1,3871.19,2024-12-28,0.323,Medium,Yes
CL00162,Sky Enterprises,Logistics,North,Premium,Inbound,11,36,57.2,4,2,3716.41,2025-09-11,0.044,Low,Yes
CL00163,Green Services,Logistics,South,Standard,Inbound,28,12,36.0,5,8,2244.2,2024-10-14,0.353,High,Yes
CL00164,Orion Logistics,Finance,South,Standard,Inbound,17,12,58.8,3,5,2439.86,2025-08-03,0.144,Low,Yes
CL00165,Pioneer Services,IT Services,North,Enterprise,Outbound,38,24,74.5,10,16,9001.64,2024-12-27,0.078,Low,Yes
CL00166,Sky Systems,Telecom,Central,Basic,Referral,16,6,40.2,4,13,1623.29,2025-10-14,0.496,High,No
CL00167,Vertex Enterprises,Healthcare,North,Standard,Referral,8,12,27.1,2,14,2680.07,2024-07-30,0.588,High,Yes
CL00168,Vertex Industries,Manufacturing,North,Standard,Referral,7,24,47.3,7,4,2227.39,2024-10-09,0.192,Medium,Yes
CL00169,Crest Services,IT Services,North,Standard,Inbound,48,12,69.4,4,31,1629.64,2025-02-24,0.162,Low,Yes
CL00170,Quantum Industries,Finance,West,Standard,Partner,41,24,70.9,6,24,3491.84,2025-08-26,0.19,Medium,Yes
CL00171,Orion Holdings,Logistics,South,Standard,Referral,28,24,61.6,5,4,2027.31,2024-06-21,0.078,Low,Yes
CL00172,Apex Industries,IT Services,East,Basic,Referral,31,3,25.0,7,33,2080.44,2025-12-17,0.804,High,No
CL00173,Crest Networks,Finance,North,Standard,Partner,15,6,69.1,7,16,2251.36,2024-03-11,0.21,Medium,Yes
CL00174,Quantum Logistics,Manufacturing,North,Standard,Outbound,4,6,59.7,4,16,2912.05,2024-03-17,0.264,Medium,Yes
CL00175,Omni Industries,Logistics,South,Basic,Marketplace,28,6,36.6,3,22,1155.04,2025-01-19,0.519,High,No
CL00176,Quantum Solutions,Manufacturing,West,Basic,Partner,10,3,11.7,6,5,914.09,2025-10-23,0.782,High,No
CL00177,Omni Solutions,Logistics,Central,Premium,Outbound,44,36,76.4,4,24,4895.36,2024-06-02,0.044,Low,Yes
CL00178,Crest Solutions,Healthcare,North,Standard,Outbound,29,6,44.9,3,45,1708.29,2025-02-15,0.352,High,No
CL00179,Pioneer Labs,Energy,East,Premium,Inbound,14,12,65.2,9,9,4600.94,2025-01-05,0.191,Medium,Yes
CL00180,Green Solutions,IT Services,Central,Premium,Referral,33,12,68.8,5,14,4763.02,2025-08-23,0.194,Medium,Yes
CL00181,Crest Labs,Healthcare,South,Premium,Referral,10,36,82.5,5,4,3453.52,2024-08-01,0.017,Low,Yes
CL00182,Crest Healthcare,IT Services,West,Standard,Referral,21,12,54.5,8,31,3565.84,2025-05-05,0.5,High,Yes
CL00183,Apex Healthcare,Energy,North,Standard,Partner,37,24,48.8,8,6,2589.15,2025-12-29,0.209,Medium,Yes
CL00184,Nova Technologies,Telecom,Central,Standard,Inbound,42,24,73.9,5,21,3966.95,2024-04-07,0.034,Low,Yes
CL00185,Pioneer Healthcare,Manufacturing,West,Premium,Referral,7,24,55.1,5,18,4365.46,2025-12-03,0.311,Medium,No
CL00186,Crest Logistics,Logistics,Central,Standard,Partner,11,6,62.8,3,12,2734.05,2024-07-28,0.126,Low,Yes
CL00187,Blue Enterprises,Telecom,West,Enterprise,Inbound,21,24,74.6,5,15,5318.71,2024-04-27,0.03,Low,Yes
CL00188,Vertex Manufacturing,Finance,South,Enterprise,Inbound,16,24,64.0,1,2,11276.54,2024-10-16,0.038,Low,Yes
CL00189,Orion Holdings,Finance,Central,Basic,Outbound,39,6,39.0,13,23,1568.35,2025-03-05,0.757,High,No
CL00190,Vertex Enterprises,Manufacturing,South,Basic,Inbound,31,3,44.3,9,25,1081.68,2024-11-13,0.797,High,Yes
CL00191,Green Systems,IT Services,South,Premium,Marketplace,38,12,84.2,9,33,3848.96,2024-06-02,0.222,Medium,No
CL00192,Pioneer Manufacturing,Energy,West,Standard,Referral,20,12,66.7,4,4,2385.27,2025-02-08,0.104,Low,No
CL00193,Prime Networks,Energy,West,Basic,Outbound,26,6,30.5,13,16,1587.06,2024-02-28,0.857,High,No
CL00194,Blue Solutions,Logistics,Central,Enterprise,Outbound,8,36,63.2,5,23,5858.18,2024-03-04,0.133,Low,Yes
CL00195,Apex Networks,Healthcare,North,Standard,Outbound,8,12,48.2,8,6,1823.8,2025-10-25,0.52,High,No
CL00196,Crest Healthcare,Healthcare,West,Enterprise,Outbound,19,36,59.8,5,10,10261.08,2025-04-16,0.055,Low,Yes
CL00197,Nova Solutions,Education,West,Premium,Event,19,24,57.4,3,6,3128.67,2024-11-18,0.078,Low,Yes
CL00198,Quantum Labs,Energy,North,Premium,Marketplace,16,12,56.9,5,2,4254.9,2024-12-17,0.171,Low,Yes
CL00199,Quantum Enterprises,Energy,South,Basic,Outbound,17,12,42.7,8,7,1221.56,2025-01-25,0.727,High,No
CL00200,Omni Holdings,Education,South,Standard,Inbound,18,24,21.5,8,16,2146.3,2024-08-17,0.578,High,Yes
CL00201,Nova Labs,Logistics,South,Standard,Inbound,37,6,44.2,5,47,3264.9,2025-08-10,0.629,High,Yes
CL00202,Blue Enterprises,IT Services,Central,Basic,Inbound,30,6,32.3,3,70,1027.1,2024-10-08,0.882,High,No
CL00203,Omni Networks,Manufacturing,East,Standard,Inbound,13,12,65.2,9,26,2672.16,2025-04-22,0.498,High,No
CL00204,Quantum Services,Energy,West,Standard,Referral,6,6,35.6,7,7,2542.64,2024-06-04,0.627,High,No
CL00205,Prime Healthcare,Finance,Central,Basic,Inbound,5,12,41.7,5,3,1490.48,2024-03-18,0.555,High,Yes
CL00206,Pioneer Logistics,IT Services,South,Basic,Inbound,19,6,39.5,5,7,2343.62,2024-06-14,0.47,High,No
CL00207,Apex Manufacturing,IT Services,West,Premium,Partner,16,24,80.5,3,20,3293.34,2024-11-10,0.032,Low,Yes
CL00208,Quantum Enterprises,Logistics,South,Basic,Partner,30,6,45.1,9,26,1389.47,2024-06-07,0.758,High,No
CL00209,Pioneer Solutions,IT Services,Central,Basic,Referral,19,6,42.5,9,20,1763.81,2025-06-22,0.724,High,Yes
CL00210,Omni Enterprises,Manufacturing,North,Premium,Referral,9,12,56.3,5,24,3270.03,2024-06-24,0.279,Medium,Yes
CL00211,Nova Solutions,Finance,Central,Enterprise,Marketplace,26,24,53.8,6,23,8918.13,2025-10-12,0.247,Medium,Yes
CL00212,Orion Logistics,Logistics,North,Standard,Inbound,19,6,56.0,14,18,2097.88,2025-09-30,0.681,High,No
CL00213,Omni Enterprises,Logistics,South,Basic,Event,5,6,44.4,8,9,1696.95,2024-09-21,0.535,High,No
CL00214,Prime Healthcare,Manufacturing,West,Premium,Referral,15,12,44.1,8,9,4203.98,2025-02-01,0.371,High,Yes
CL00215,Vertex Services,Logistics,South,Enterprise,Inbound,20,36,60.2,13,2,5243.99,2025-07-09,0.075,Low,Yes
CL00216,Blue Labs,Manufacturing,East,Premium,Inbound,24,12,66.0,8,14,7417.07,2025-01-01,0.248,Medium,No
CL00217,Pioneer Manufacturing,Healthcare,South,Premium,Event,12,24,68.1,6,8,6487.59,2024-04-24,0.085,Low,Yes
